Dataset,Mean Result,Stddev Result,alpha
bace,0.7700110125775227,0.014694211443798299,0.0001
bace,0.7606213412160203,0.06291442498145933,0.001
bace,0.7796904886106764,0.034148829468760966,0.01
bace,0.7597519272010665,0.06631169126467967,0.1
bace,0.7900654958557931,0.020125635603640123,0.5
bace,0.8015417608531848,0.00613373487400488,1.0
hiv,0.7163235417189723,0.01898494289730054,1e-07
hiv,0.725346826577055,0.019727102079948884,1e-06
hiv,0.7228329374199322,0.020735725564089057,1e-05
hiv,0.7283049112574597,0.017406901433538666,0.0001
hiv,0.7106613363203872,0.016657502336498112,0.001
hiv,0.7224820873327024,0.01717796720978964,0.01
hiv,0.730349498187811,0.03899964341488965,0.1
hiv,0.7449863844415688,0.005481046299731347,0.5
hiv,0.7454553647875265,0.003875511514560268,1.0
bbbp,0.6891718106995884,0.007288459446092148,1e-07
bbbp,0.6711676954732511,0.013044864274768163,1e-06
bbbp,0.6557034465020576,0.00994392922953871,1e-05
bbbp,0.6888181584362139,0.007984068457582096,0.0001
bbbp,0.6895254629629631,0.005493453266164423,0.001
bbbp,0.6737718621399177,0.019173143890435947,0.01
bbbp,0.6993955761316872,0.03200508980569248,0.1
bbbp,0.6705729166666666,0.05953937306865891,0.5
bbbp,0.6429639274691358,0.03063410639275548,1.0
tox21,0.7448430205205355,0.00711457471392313,1e-07
tox21,0.7388385011316873,0.00841316268457138,1e-06
tox21,0.7415426318244509,0.00794888322150804,1e-05
tox21,0.7467931784019656,0.007725381299609943,0.0001
tox21,0.7376654414075675,0.005367665356843789,0.001
tox21,0.7411085821506819,0.006580644692631289,0.01
tox21,0.7519980223732169,0.007666146620246823,0.1
tox21,0.7525872879014212,0.005036058913575313,0.5
tox21,0.7565524865671435,0.006991658461971052,1.0
toxcast,0.6302123294765244,0.002456508102611425,1e-07
toxcast,0.6219917649491662,0.0163049771921103,1e-06
toxcast,0.6261160859876057,0.0033629221716378953,1e-05
toxcast,0.6201730245764844,0.009694402227776434,0.0001
toxcast,0.6327497375833605,0.005613149425330914,0.001
toxcast,0.6294815305699346,0.0026909173622093217,0.01
